id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Automated Optical Inspector (AOI),Measurement & Metrology,Post-Reflow SMT Inspector,"{""camera_res"":{""type"":""number"",""units"":""um/pixel""},""inspection_speed"":{""type"":""number"",""units"":""cm2/sec""},""fov"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,12,High,IPC-A-610;21 CFR Part 11,AOI;PCB inspector;solder joint checker,{},"OQ uses ""Golden Boards"" to verify false call rates and defect detection."
,Wave Soldering Machine,Production: Electronics,Lead-Free Dual Wave,"{""solder_pot_temp"":{""type"":""number"",""units"":""C""},""conveyor_angle"":{""type"":""number"",""units"":""deg""},""fluxer_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,High,J-STD-001;ISO 13485,wave solder;thru-hole solder;selective wave,{},Critical for PCBA integrity in life-support devices. PQ focuses on dross levels and wetting.
,Raman Spectrometer,Analytical Lab,Handheld RMID System,"{""laser_wavelength"":{""type"":""number"",""units"":""nm""},""spectral_range"":{""type"":""range"",""units"":""cm-1""},""laser_safety_class"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <858>;USP <1058>;21 CFR Part 11,Raman;RMID;chemical ID;Vaya;Agilent,{},USP <1058> Group C. Used for raw material ID through opaque containers.
,Lateral Flow Reagent Dispenser,Production: IVD,Nano-Dispense System,"{""dispense_vol"":{""type"":""range"",""units"":""nL""},""line_width"":{""type"":""number"",""units"":""mm""},""position_accuracy"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;FDA QMSR,BioDot;LFA striper;reagent dispenser,{},PQ verifies protein binding consistency on nitrocellulose membranes.
,Guillotine Card Cutter,Production: IVD,Automated LFA Strip Cutter,"{""cut_width"":{""type"":""number"",""units"":""mm""},""strips_per_minute"":{""type"":""integer""},""blade_life"":{""type"":""integer"",""units"":""cuts""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;FDA QMSR,strip cutter;LFA slitter;card cutter,{},OQ verifies strip width tolerance to ensure proper fit in plastic cassettes.
,Automated Lamination System,Production: IVD,Multi-Layer LFA Laminator,"{""lamination_pressure"":{""type"":""number"",""units"":""bar""},""alignment_sensor"":{""type"":""boolean""},""throughput"":{""type"":""number"",""units"":""cards/hr""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;FDA QMSR,LFA laminator;card assembler;membrane sticker,{},Critical for consistent wicking between sample pad and membrane.
,Bio-Hazard Waste Autoclave,Sterilization & Decon,Industrial Decontamination,"{""chamber_vol"":{""type"":""number"",""units"":""L""},""max_temp"":{""type"":""number"",""units"":""C""},""cycle_record"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,29 CFR 1910.1030;ISO 17665,red bag sterilizer;waste autoclave;decon unit,{},PQ must demonstrate complete inactivation of waste loads using BIs. 
,Industrial Waste Shredder,Facilities & Waste,Sharps/Bio-Waste Shredder,"{""motor_power"":{""type"":""number"",""units"":""HP""},""shred_size"":{""type"":""number"",""units"":""mm""},""noise_level"":{""type"":""number"",""units"":""dB""}}",TRUE,TRUE,FALSE,,12,,Low,21 CFR 820.70;OSHA,sharps shredder;waste grinder;medical shredder,{},Used to render medical device prototypes or rejects non-functional and safe.
,Cryogenic Dry Shipper,Cold Chain,LN2 Absorbed Dewar,"{""hold_time"":{""type"":""number"",""units"":""days""},""inner_capacity"":{""type"":""number"",""units"":""L""},""temp_logger"":{""type"":""boolean""}}",TRUE,FALSE,TRUE,12,12,,High,21 CFR 1271.265;ISO 13485,LN2 shipper;HCTP transport;dry dewar,{},"PQ involves ""Open-Door"" and ""Hold-Time"" challenges with a dummy load. "
,Automated Cell Counter,HCT/P Processing,Image-Based Viability,"{""counting_range"":{""type"":""range"",""units"":""cells/mL""},""viability_dye"":{""type"":""string""},""image_res"":{""type"":""number"",""units"":""MP""}}",TRUE,TRUE,TRUE,6,12,,High,21 CFR 1271.160;USP <1058>,Vi-Cell;Countess;cell analyzer;HCTP counter,{},OQ verifies count linearity against certified bead standards. 
,Micro-Laser Welder,Production: Joining,Manual/Robotic Precision,"{""spot_dia"":{""type"":""number"",""units"":""um""},""pulse_energy"":{""type"":""number"",""units"":""mJ""},""aiming_beam"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 15609-4;ISO 13919-1,jewelry welder;laser tacker;micro welder,{},Used for heart valve frames and tiny electronics. PQ uses pull-testing.
,Benchtop Centrifuge,Laboratory,Multi-Rotor General,"{""max_rpm"":{""type"":""number""},""max_g_force"":{""type"":""number""},""timer_range"":{""type"":""range"",""units"":""min""}}",TRUE,TRUE,FALSE,12,12,,Medium,IEC 61010-2-020;FDA QMSR,spin-down;lab centrifuge;Eppendorf,{},OQ verifies RPM accuracy with an external tachometer. 
,Refrigerated Centrifuge,Laboratory,High-Speed Chilled,"{""temp_range"":{""type"":""range"",""units"":""C""},""chamber_cooling"":{""type"":""boolean""},""rotor_recognition"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,Medium,IEC 61010-2-020;USP <1058>,chilled centrifuge;blood spinner;cold spin,{},OQ includes verification of chamber temperature at max RPM. 
,Biological Indicator Incubator,Testing,Rapid Readout Station,"{""incubation_temp"":{""type"":""number"",""units"":""C""},""well_count"":{""type"":""integer""},""auto_read"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 11138;ANSI/AAMI ST79,BI incubator;Attest reader;sterility tester,{},Critical for autoclave release. OQ verifies temp stability of individual wells. 
,Handheld Barcode Verifier,Labeling,1D/2D ANSI Grade,"{""grading_std"":{""type"":""enum"",""values"":},""aperture"":{""type"":""number"",""units"":""mil""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 830;ISO 15426,UDI verifier;label grader;barcode scanner,{},"Not just a scanner; this validates the ""Print Quality"" of UDI labels. "
,Environmental Test Chamber,Testing,Large Scale Reach-In,"{""temp_range"":{""type"":""range"",""units"":""C""},""humidity_range"":{""type"":""range"",""units"":""%RH""},""interior_volume"":{""type"":""number"",""units"":""m3""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;ICH Q1A,stability chamber;humidity box;shelf-life oven,{},PQ requires mapping the chamber for uniformity under loaded conditions. 
,Motorized Force Gauge,Measurement & Metrology,Tensile/Compression Stand,"{""force_capacity"":{""type"":""number"",""units"":""N""},""speed_range"":{""type"":""range"",""units"":""mm/min""},""travel_limit"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,pull tester;force stand;Mark-10;Chatillon,{},"Used for simple tensile tests (e.g., Luer lock strength). "
,Digital Pressure Gauge,Measurement & Metrology,High-Precision Master,"{""range"":{""type"":""range"",""units"":""PSI""},""accuracy_class"":{""type"":""number"",""units"":""%""},""wetted_parts"":{""type"":""string""}}",TRUE,FALSE,FALSE,6,,,Medium,ISO 17025;FDA QMSR,master gauge;reference pressure;pneumatic meter,{},Typically used as a reference standard to calibrate process sensors. 
,Cleanroom Washer-Extractor,Facilities: Cleaning,Barrier Style Industrial,"{""load_capacity"":{""type"":""number"",""units"":""kg""},""water_quality"":{""type"":""enum"",""values"":},""g_force"":{""type"":""number""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 14644;ISO 13485;21 CFR 820.70,garment washer;barrier washer;laundry extractor,{},PQ verifies particulate reduction and bioburden levels on cleanroom suits.
,Cleanroom Tumble Dryer,Facilities: Cleaning,HEPA-Filtered Exhaust,"{""temp_range"":{""type"":""range"",""units"":""C""},""airflow_volume"":{""type"":""number"",""units"":""CFM""},""filter_efficiency"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 14644-14;ISO 13485,suit dryer;cleanroom dryer;HEPA dryer,{},PQ involves particle count verification within the drum during operation.
,Specialized Gas Manifold,Utilities: Gas,Automatic Changeover System,"{""gas_purity"":{""type"":""number"",""units"":""%""},""max_pressure"":{""type"":""number"",""units"":""PSI""},""leak_rate"":{""type"":""number"",""units"":""sccm""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 7396;FDA QMSR;ISO 13485,gas switcher;bulk gas manifold;O2 manifold,{},OQ verifies pressure switchover logic and alarm triggers. 
,NAT Screening System,HCT/P: Screening,High-Throughput PCR,"{""sensitivity"":{""type"":""number"",""units"":""IU/mL""},""lod"":{""type"":""number"",""units"":""copies""},""throughput"":{""type"":""number"",""units"":""tests/run""}}",TRUE,TRUE,TRUE,6,6,12,High,21 CFR 1271;21 CFR 610;USP <1058>,NAT analyzer;HIV/HCV screener;nucleic acid tester,{},Mandatory for HCT/P donor eligibility. Requires extensive CSV. 
,Automated Immunoassay Analyzer,HCT/P: Screening,Chemiluminescent (CLIA),"{""analytical_sensitivity"":{""type"":""number""},""reagent_cooling"":{""type"":""boolean""},""sample_probe_cv"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,6,6,12,High,21 CFR 1271;21 CFR 866;CLIA,CLIA machine;infectious disease screener;donor tester,{},"Used for HBsAg, anti-HIV, and syphilis screening of HCT/P donors."
,Bone Mill (Automated),HCT/P: Processing,Precision Allograft Grinder,"{""blade_speed"":{""type"":""number"",""units"":""RPM""},""output_size"":{""type"":""range"",""units"":""um""},""material"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,12,High,21 CFR 1271.200;ISO 13485,bone grinder;allograft mill;morselizer,{},PQ verifies consistent particle size distribution for bone grafts. 
,Automatic Colony Picker,Laboratory: Micro,Imaging-Based Robotic,"{""picking_speed"":{""type"":""number"",""units"":""colonies/hr""},""camera_res"":{""type"":""number"",""units"":""MP""},""plate_capacity"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,12,Medium,GAMP 5;ISO 13485;21 CFR Part 11,colony bot;microbiology robot;QPix,{},OQ verifies picking accuracy (targeting) and cross-contamination prevention.
,V-Blender (Twin Shell),Production: Mixing,Sanitary Powder Mixer,"{""total_volume"":{""type"":""number"",""units"":""L""},""max_fill_level"":{""type"":""number"",""units"":""%""},""mixing_speed"":{""type"":""number"",""units"":""RPM""}}",TRUE,TRUE,TRUE,12,12,12,Medium,21 CFR 820.75;ISO 13485,twin shell;V-mixer;powder blender,{},PQ verifies blend uniformity (RSD < 5%) using thief sampling. 
,Decellularization System,HCT/P: Processing,Automated Perfusion Unit,"{""pump_flow_rate"":{""type"":""range"",""units"":""mL/min""},""pressure_limit"":{""type"":""number"",""units"":""mmHg""},""temp_control"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,12,12,High,21 CFR 1271;ISO 13485,tissue stripper;de-cell unit;HCTP processor,{},PQ must demonstrate complete removal of cellular DNA from tissue scaffold.
,GC-TD System,Analytical Lab,Thermal Desorption GC,"{""desorption_temp"":{""type"":""number"",""units"":""C""},""trap_cooling"":{""type"":""number"",""units"":""C""},""oven_max"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,6,,High,ISO 10993-7;ISO 10993-18;USP <1058>,residual GC;outgassing tester;TD-GCMS,{},Used for analyzing volatile residuals in orthopedic implants.
,Continuous Air Particle Manifold,Facilities: Monitoring,Isokinetic Sampling System,"{""port_count"":{""type"":""integer""},""sample_flow"":{""type"":""number"",""units"":""LPM""},""vacuum_source"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,High,ISO 14644-2;FDA QMSR,FMS manifold;cleanroom air monitor,{},OQ verifies vacuum stability at all sampling points simultaneously.
,Vacuum Bubble Leak Tester,Production: Inspection,ASTM D3078 System,"{""vacuum_level"":{""type"":""number"",""units"":""inHg""},""chamber_vol"":{""type"":""number"",""units"":""L""},""timer_accuracy"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM D3078;ISO 11607,bubble tester;pouch leak tester;immersion leak,{},Used for sterile barrier integrity testing (package validation). 
,Sintering Furnace,Production: Additive,High-Temp Vacuum/Inert,"{""max_temp"":{""type"":""number"",""units"":""C""},""ramp_rate"":{""type"":""number"",""units"":""C/min""},""atmosphere"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;ASTM F2924;ASTM F3001,metal sinter;additive oven;3D print furnace,{},PQ involves temp mapping and density/hardness verification of parts.
,Micro-Milling Machine,Production: Machining,5-Axis Dental/Ortho,"{""spindle_rpm"":{""type"":""number""},""tool_dia_min"":{""type"":""number"",""units"":""mm""},""position_accuracy"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 13485;21 CFR 820.70,dental mill;micro-CNC;small part mill,{},Used for custom bone plates and dental abutments.
,MALDI-TOF MS,Analytical Lab,Microbial Identification,"{""mass_range"":{""type"":""range"",""units"":""Da""},""laser_type"":{""type"":""string""},""library_size"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,,High,USP <1058>;21 CFR Part 11;ISO 13485,MALDI;microbial ID;Biotyper,{},Used for rapid environmental isolate identification in cleanrooms.
,Cleanroom Garment Cabinet,Facilities,HEPA-Filtered Laminar,"{""hepa_efficiency"":{""type"":""number"",""units"":""%""},""air_velocity"":{""type"":""number"",""units"":""fpm""},""uv_light"":{""type"":""boolean""}}",TRUE,FALSE,FALSE,12,12,,Low,ISO 14644;FDA QMSR,gowning rack;HEPA cabinet;suit storage,{},IQ verifies laminar flow and surface cleanliness levels.
,Rotary Evaporator,Laboratory: Reagent,Reagent Solvent Recovery,"{""bath_temp"":{""type"":""number"",""units"":""C""},""rotation_speed"":{""type"":""number"",""units"":""RPM""},""vacuum_cap"":{""type"":""number"",""units"":""mbar""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 820.70;ISO 13485,rotovap;solvent stripper;reagent concentrator,{},Used in IVD reagent preparation to concentrate analytes.
,Bone Saw (Manual/Pneumatic),HCT/P: Processing,Reusable Surgical Tool,"{""air_pressure_req"":{""type"":""number"",""units"":""psi""},""stroke_speed"":{""type"":""number"",""units"":""spm""},""blade_compatibility"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,ISO 13485;ISO 17664;21 CFR 1271,surgical saw;ortho saw;allograft saw,{},PQ focuses on heat prevention to maintain tissue osteoinductivity. 
,Nitrogen/Oxygen Gas Mixer,Utilities,High-Accuracy Blender,"{""mix_accuracy"":{""type"":""number"",""units"":""%""},""flow_range"":{""type"":""range"",""units"":""LPM""},""fail_safe"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,12,12,High,21 CFR 820.70;ISO 13485,gas blender;proportional mixer;hypoxic mixer,{},Used for hypoxic cell culture (HCT/P). OQ verifies mix ratio stability.
,Automated Tape Applicator,Production: Packaging,Medical Grade Taper,"{""tape_width"":{""type"":""number"",""units"":""mm""},""application_force"":{""type"":""number"",""units"":""N""},""speed"":{""type"":""number"",""units"":""m/min""}}",TRUE,TRUE,TRUE,12,12,,Low,ISO 13485;FDA QMSR,box taper;packaging taper;case sealer,{},PQ verifies seal continuity and adhesive bonding to the substrate.
,Cryogenic Bulk Storage Tank,Cold Chain,Vacuum-Insulated LN2,"{""capacity"":{""type"":""number"",""units"":""L""},""static_evap_rate"":{""type"":""number"",""units"":""%/day""},""pressure_rating"":{""type"":""number"",""units"":""psi""}}",TRUE,TRUE,TRUE,12,12,24,High,21 CFR 1271.260;ISO 13485,LN2 tank;bulk cryo;liquid nitrogen reservoir,{},"PQ involves ""Hold Time"" study and vacuum integrity verification."
,Bulk CO2 Storage Tank,Facilities: Gas,Low-Pressure Refrigerated,"{""storage_temp"":{""type"":""number"",""units"":""C""},""purity_spec"":{""type"":""number"",""units"":""%""},""fill_level_alarm"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 7396;FDA QMSR,CO2 bulk;incubator gas supply;gas silo,{},Essential for high-volume HCT/P incubator farms. OQ verifies alarm thresholds.
,Inline UDI Barcode Scanner,Production: Labeling,360-Degree Code Reader,"{""scan_rate"":{""type"":""number"",""units"":""scans/sec""},""symbology_support"":{""type"":""array""},""decoding_grade"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,21 CFR 830;21 CFR Part 11,UDI scanner;barcode bot;Cognex inline;Keyence SR,{},PQ verifies read rates at maximum conveyor speed with degraded codes. 
,Spinal Construct Fatigue Tester,Metrology: Mechanical,Static/Dynamic Axial-Torsion,"{""max_axial_load"":{""type"":""number"",""units"":""kN""},""freq_range"":{""type"":""range"",""units"":""Hz""},""actuator_stroke"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,6,6,24,High,ASTM F1717;ASTM F2706;ISO 12189,spine tester;implant fatigue;Zwick spine,{},Critical for validating vertebral body fusion devices and rod systems. 
,Torsional Bone Screw Tester,Metrology: Mechanical,Automated Torque-Angle,"{""torque_cap"":{""type"":""number"",""units"":""N-m""},""angular_res"":{""type"":""number"",""units"":""deg""},""axial_preload"":{""type"":""number"",""units"":""N""}}",TRUE,TRUE,TRUE,12,12,,High,ASTM F543;ISO 17025,screw torque;breaking angle;bone screw validation,{},PQ verifies torsional yield strength and maximum torque to failure. 
,Dynamic Hip Simulator,Metrology: Mechanical,Multi-Station Wear Tester,"{""stations"":{""type"":""integer""},""load_profile"":{""type"":""string""},""fluid_temp_control"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 7206-4;ISO 14242;ASTM F3047M,hip simulator;wear tester;prosthetic durability,{},PQ typically runs for 5 million+ cycles with bovine serum lubricant. 
,Knee Simulator,Metrology: Mechanical,Multi-Axis Displacement-Control,"{""flexion_range"":{""type"":""range"",""units"":""deg""},""axial_force"":{""type"":""number"",""units"":""kN""},""sampling_rate"":{""type"":""number"",""units"":""Hz""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 14243;ASTM F2777;ISO 21536,knee simulator;TKR tester;joint wear,{},PQ involves gravimetric wear measurement of the tibial insert. 
,Micro-Hardness Tester,Metrology: Material,Vickers/Knoop Semi-Auto,"{""test_load"":{""type"":""range"",""units"":""gf""},""dwell_time"":{""type"":""number"",""units"":""sec""},""objective_lens"":{""type"":""array""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM E384;ISO 17025,Vickers tester;implant hardness;Knoop scope,{},OQ verifies indent measurement accuracy using NIST-traceable blocks.
,DC Plasma Spray System,Production: Surface Treatment,Hydroxyapatite Coater,"{""plate_power"":{""type"":""number"",""units"":""kW""},""spray_dist"":{""type"":""number"",""units"":""mm""},""feed_gas_ratio"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 13779-2;ASTM F1147,HA sprayer;DC plasma;implant coater,{},PQ must include HA crystallinity (XRD) and coating adhesion testing.
,Vacuum Sintering Furnace,Production: Additive,High-Temp Inert Gas,"{""max_temp"":{""type"":""number"",""units"":""C""},""vacuum_level"":{""type"":""number"",""units"":""mTorr""},""temp_uniformity"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;ASTM F2924,sinter oven;metal 3D print oven;Ti furnace,{},PQ involves 9-point thermal mapping and part density analysis.
,Automated Grit Blaster,Production: Finishing,CNC Surface Texturizer,"{""nozzle_pressure"":{""type"":""number"",""units"":""psi""},""media_grit_size"":{""type"":""integer""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;FDA QMSR,sandblaster;implant finisher;bead blast,{},OQ verifies Ra (surface roughness) consistency across the implant surface.
,DSC Analyzer,Analytical Lab: Materials,High-Sensitivity Calorimeter,"{""temp_range"":{""type"":""range"",""units"":""C""},""heating_rate"":{""type"":""number"",""units"":""C/min""},""baseline_noise"":{""type"":""number"",""units"":""uW""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;ISO 11357,DSC;thermal analyzer;polymer crystallinity,{},USP <1058> Group C. Used to validate PEEK/Polymer raw materials. 
,TGA Analyzer,Analytical Lab: Materials,Thermogravimetric Balance,"{""balance_resolution"":{""type"":""number"",""units"":""ug""},""max_temp"":{""type"":""number"",""units"":""C""},""atmosphere_control"":{""type"":""array""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;ISO 11358,thermal weight;TGA;ash content analyzer,{},Critical for detecting moisture content and filler ratios in medical plastics. 
,LC-MS/MS System,Analytical Lab: Trace,Triple Quadrupole E&L,"{""mass_range"":{""type"":""range"",""units"":""m/z""},""sensitivity"":{""type"":""number"",""units"":""pg""},""source_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 10993-18;21 CFR Part 11,LCMS;extractables tester;leachables analyzer,{},Critical for biocompatibility/E&L profiles of implants and catheters.
,ICP-OES Analyzer,Analytical Lab: Trace,Elemental Inductive Plasma,"{""wavelength_range"":{""type"":""range"",""units"":""nm""},""lod"":{""type"":""number"",""units"":""ppb""},""nebulizer_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,Medium,USP <232>;USP <233>,metal analyzer;heavy metal tester;ICP,{},Replacement for traditional USP <231> heavy metal tests.
,Digital Profile Projector,Metrology: Optical,2D Vision Measurement,"{""fov_size"":{""type"":""string""},""magnification"":{""type"":""number""},""accuracy"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,optical comparator;Keyence IM;shadowgraph,{},OQ verifies pixel-to-dimension scaling using a certified glass slide. 
,Ultrasonic Flow Meter,Metrology: Fluid,Non-Invasive Clamp-On,"{""flow_range"":{""type"":""range"",""units"":""LPM""},""pipe_dia"":{""type"":""range"",""units"":""mm""},""accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,flow meter;clamp flow;catheter flow tester,{},Used to validate WFI/PW loop flow velocities (non-contact). 
,Peel Strength Tester,Metrology: Packaging,180-Degree T-Peel Stand,"{""force_cap"":{""type"":""number"",""units"":""N""},""crosshead_speed"":{""type"":""number"",""units"":""mm/min""},""stroke"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,,High,ASTM F88;ISO 11607,peel tester;seal strength;pouch tester,{},PQ verifies sterile barrier seal strength consistency. 
,Bubble Emission Leak Tester,Metrology: Packaging,ASTM D3078 Vacuum Tank,"{""vacuum_max"":{""type"":""number"",""units"":""inHg""},""tank_vol"":{""type"":""number"",""units"":""L""},""timer_acc"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM D3078;ISO 11607,bubble tester;pouch leak bath;immersion tester,{},Essential for determining gross leaks in flexible packaging. 
,Dye Penetration Integrity Bath,Metrology: Packaging,ASTM F1929 System,"{""dye_composition"":{""type"":""string""},""rinse_station"":{""type"":""boolean""},""lighting_std"":{""type"":""string""}}",TRUE,FALSE,FALSE,,12,,Medium,ASTM F1929;ISO 11607,dye leak;wicking tester;package integrity,{},IQ verifies dye formulation and visual detection area lighting.
,Heart-Lung Machine Console,Cardiovascular Support,Cardiopulmonary Bypass Console,"{""pump_heads"":{""type"":""integer""},""battery_runtime"":{""type"":""number"",""units"":""min""},""integrated_monitors"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 870.4230;IEC 60601-1,CPB console;perfusion pump;bypass machine,{},"OQ verifies all alarm logic (bubble, level, pressure) and battery switchover."
,Roller-Type Blood Pump,Cardiovascular Support,CPB Arterial/Suction Pump,"{""flow_range"":{""type"":""range"",""units"":""L/min""},""occlusion_setting"":{""type"":""string""},""rpm_accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,6,12,12,High,21 CFR 870.4380;ISO 13485,arterial pump;roller pump;blood mover,{},PQ verifies flow rate consistency against calibrated flow meters.
,Cardiopulmonary Temp Controller,Cardiovascular Support,CPB Heater-Cooler Unit,"{""temp_range"":{""type"":""range"",""units"":""C""},""heating_cap"":{""type"":""number"",""units"":""W""},""cooling_cap"":{""type"":""number"",""units"":""W""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 870.4250;IEC 60601-1,CPB heater;cooler unit;thermal exchanger,{},OQ verifies temp stability and microbial control procedures for water tanks.
,High-Power X-Ray Generator,Diagnostic Imaging,Cardiac Cath Lab Generator,"{""power_output"":{""type"":""number"",""units"":""kW""},""kvp_range"":{""type"":""range"",""units"":""kV""},""pulse_freq"":{""type"":""number"",""units"":""fps""}}",TRUE,TRUE,TRUE,12,12,24,High,21 CFR 1020.30;IEC 60601-2-43,X-ray source;imaging generator;high-voltage tank,{},OQ verifies pulse width (3-8 ms) and kVp accuracy for radiation safety.
,Digital Flat-Panel Detector,Diagnostic Imaging,Dynamic Cardiac X-Ray,"{""field_size"":{""type"":""number"",""units"":""in""},""resolution"":{""type"":""number"",""units"":""lp/mm""},""frame_rate"":{""type"":""number"",""units"":""fps""}}",TRUE,TRUE,FALSE,12,12,,High,21 CFR 1020;ISO 13485,FPD;dynamic detector;DR panel,{},OQ verifies DQE (detective quantum efficiency) and signal-to-noise ratio.
,Automated Contrast Injector,Diagnostic Imaging,Angiographic Power Injector,"{""injection_rate"":{""type"":""range"",""units"":""mL/s""},""pressure_limit"":{""type"":""number"",""units"":""psi""},""syringe_vol"":{""type"":""number"",""units"":""mL""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 870.1650;FDA QMSR,power injector;dye injector;Medrad,{},OQ verifies pressure-cutoff and volume accuracy to prevent vessel damage.
,Mobile VHP Decon Robot,Environment & Safety,Autonomous Room Fogger,"{""h2o2_conc"":{""type"":""number"",""units"":""%""},""cycle_time"":{""type"":""number"",""units"":""min""},""room_mapping"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 22441;ISO 14644,VHP bot;cleanroom robot;Steris bot,{},PQ requires biological indicator (BI) 6-log reduction mapping of rooms.
,Active Bio-Air Sampler,Environment & Safety,Isokinetic Cleanroom Sampler,"{""flow_rate"":{""type"":""number"",""units"":""LPM""},""sampling_vol"":{""type"":""number"",""units"":""L""},""timer_acc"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 14698;FDA QMSR,bio-sampler;active air monitor;micro sampler,{},"OQ verifies flow rate stability (e.g., 100 LPM) across different media types. "
,Endoscope Washer-Disinfector,Cleaning,Automated (AER),"{""chamber_count"":{""type"":""integer""},""leak_test_integrated"":{""type"":""boolean""},""disinfectant_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 15883-4;AAMI ST98,AER;scope washer;reprocessor,{},PQ verifies high-level disinfection (HLD) using simulated use soil tests.
,H2O2 Gas Plasma Sterilizer,Sterilization,Low-Temp Vapor Unit,"{""chamber_vol"":{""type"":""number"",""units"":""L""},""cycle_temp"":{""type"":""number"",""units"":""C""},""plasma_gen"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 14937;FDA QMSR,STERRAD;plasma sterilizer;VHP unit,{},Ideal for electronics/fiberoptics. PQ requires 3 consecutive successful BI runs. 
,Micro-Resistance Tester,Metrology,4-Wire Kelvin Meter,"{""range"":{""type"":""range"",""units"":""mOhm""},""test_current"":{""type"":""number"",""units"":""mA""},""accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,,Medium,IPC-6012 Class 3;ISO 17025,Kelvin bridge;ohm meter;solder joint tester,{},Essential for validating active implantable PCBA grounding paths.
